strain,time_h,mean,sem,n
L1091,0,0.0,0.0,3
L1091,6,6.373333333333334,0.19649710204252654,3
L1091,24,6.763333333333333,0.07356025496904668,3
L1091,48,6.993333333333333,0.04910306620885404,3
L1091,72,6.793333333333333,0.07688375063113866,3
L1253,0,0.0,0.0,3
L1253,6,6.103333333333333,0.04176654695380551,3
L1253,24,6.81,0.05131601439446883,3
L1253,48,7.12,0.07571877794400345,3
L1253,72,6.866666666666667,0.03756475889861552,3
L2182,0,0.0,0.0,3
L2182,6,5.853333333333333,0.04096068575814844,3
L2182,24,6.6433333333333335,0.31928740101113395,3
L2182,48,6.9433333333333325,0.22392955241424592,3
L2182,72,6.733333333333333,0.12771496040445368,3
L43,0,0.0,0.0,3
L43,6,6.4433333333333325,0.06765927710061491,3
L43,24,6.993333333333333,0.04666666666666648,3
L43,48,7.196666666666666,0.13042665031009243,3
L43,72,7.21,0.07571877794400358,3
