strain,time_h,mean,sem,n
L1091,0,8.22,0.0,3
L1091,6,7.533333333333334,0.027284509239574498,3
L1091,24,8.183333333333334,0.04702245326555282,3
L1091,48,8.32,0.043588989435407066,3
L1091,72,8.136666666666667,0.017638342073763955,3
L1253,0,8.41,0.0,3
L1253,6,7.743333333333333,0.04176654695380533,3
L1253,24,8.196666666666667,0.02962731472438523,3
L1253,48,8.37,0.04041451884327368,3
L1253,72,8.126666666666667,0.06359594676112963,3
L2182,0,8.46,0.0,3
L2182,6,7.753333333333334,0.014529663145135683,3
L2182,24,8.08,0.06244997998398381,3
L2182,48,8.223333333333334,0.03179797338056455,3
L2182,72,8.056666666666667,0.02962731472438495,3
L43,0,8.16,0.0,3
L43,6,7.716666666666666,0.031797973380564684,3
L43,24,8.22,0.02309401076758531,3
L43,48,8.283333333333333,0.08987645841808527,3
L43,72,8.270000000000001,0.026457513110645398,3
